Nº	NOME	TIPO	ATRIBUTO	RAÇA/PROPRIEDADE	LV	ATK	DEF	ID	DESC
0014	A Man with Wdjat	Monster (Effect)	DARK	Spellcaster	4	1600	1600	51351302	When you Normal Summon this card, and during each of your Standby Phases, select 1 Set card on your opponent's side of the field. Pick it up and look at it, then return it to its original position.
0015	A Rival Appears!	Trap Card		Normal				5728014	Select 1 face-up monster your opponent controls. Special Summon 1 monster from your hand that has the same Level as the selected monster.
0016	A Wingbeat of Giant Dragon	Spell Card		Normal				28596933	Return 1 Level 5 or higher Dragon-Type monster you control to the hand, and if you do, destroy all Spell and Trap Cards on the field.
0017	A-Team: Trap Disposal Unit	Monster (Effect)	FIRE	Machine	2	300	400	13026402	This effect can be used during either player's turn. When your opponent activates a Trap Card, Tribute this face-up card to negate the activation of the Trap Card and destroy it.
0018	Absolute End	Trap Card		Normal				27744077	Activate only during your opponent's turn. This turn, the attacks from your opponent's monsters become direct attacks.
0019	Absorbing Kid from the Sky	Monster (Effect)	LIGHT	Fairy	4	1300	1000	49771608	When this card destroys a monster and sends it to the Graveyard as a result of battle, increase your Life Points by the Level of the destroyed monster x 300 points.
0020	Abyss Flower	Monster (Normal)	EARTH	Plant	2	750	400	40387124	''A rarely seen flower that blossoms quietly on the edge of darkness.''
0021	Abyss Soldier	Monster (Effect)	WATER	Aqua	4	1800	1300	18318842	Once per turn: You can discard 1 WATER monster to the Graveyard to target 1 card on the field; return it to the hand.
0022	Abyssal Designator	Spell Card		Normal				89801755	Pay 1000 Life Points. Declare a Type and an Attribute. Your opponent must send 1 monster with both the declared Type and Attribute from their hand or Deck to the Graveyard.
0023	Acid Crawler	Monster (Normal)	EARTH	Insect	3	900	700	77568553	''A giant caterpillar that secretes an acid mist that melts anything.''
0024	Acid Rain	Spell Card		Normal				21323861	Destroy all face-up Machine-Type monsters on the field.
0025	Acid Trap Hole	Trap Card		Normal				41356845	Target 1 face-down Defense Position monster on the field; flip it face-up, then destroy it if its DEF is 2000 or less, or return it face-down if its DEF is more than 2000.
0026	Acrobat Monkey	Monster (Normal)	EARTH	Machine	3	1000	1800	47372349	An autonomous monkey type robot which was developed with cutting-edge technology. It moves very acrobatically.
0027	Adhesion Trap Hole	Trap Card		Normal				62325062	When your opponent Summons a monster(s): Halve that monster(s)'s original ATK.
0028	After the Struggle	Spell Card		Normal				25345186	This card can only be activated during Main Phase 1. All monsters on both sides of the field that have been involved in damage calculation are destroyed during the End Step of the turn.
0029	Agido	Monster (Effect)	EARTH	Fairy	4	1500	1300	16135253	When this card is destroyed and sent to the Graveyard as a result of battle, roll a six-sided die. You can Special Summon 1 Fairy-Type monster from your Graveyard whose Level is equal to the number rolled. (If the result is 6, you can Special Summon a Level 6 or higher monster.)
0030	Air Eater	Monster (Normal)	WIND	Fiend	6	2100	1600	8353769	''A monster that feeds on oxygen, suffocating any who stand near.''
0031	Airknight Parshath	Monster (Effect)	LIGHT	Fairy	5	1900	1400	18036057	If this card attacks a Defense Position monster, inflict piercing battle damage. If this card inflicts battle damage to your opponent: Draw 1 card.
0032	Aitsu	Monster (Normal)	FIRE	Fairy	5	100	100	48202661	He seems to be very unreliable, but he might have incredible potential.
0033	Akakieisu	Monster (Normal)	DARK	Spellcaster	3	1000	800	38035986	''A sorcerer who utters spells that render monsters unconscious.''
0034	Akihiron	Monster (Normal)	WATER	Aqua	5	1700	1400	36904469	''This strange creature hides in the deep, dark corners of the seven seas.''
0035	Alinsection	Monster (Normal)	EARTH	Insect	3	950	700	70924884	A stag beetle with a saw-like head and arms.
0036	Alligator's Sword	Monster (Normal)	EARTH	Beast	4	1500	1200	64428736	ey, dis mighty lissard man can swing his sword so fast, dat it's more dan da speed a sound!
0037	Alligator's Sword Dragon	Monster (Fusion)	WIND	Dragon	5	1700	1500	3366982	"Baby Dragon" + "Alligator's Sword" This card can attack your opponent directly if the only face-up monsters they control are EARTH, WATER, or FIRE.
0038	Alpha The Magnet Warrior	Monster (Normal)	EARTH	Rock	4	1400	1700	99785935	''Alpha, Beta, and Gamma meld as one to form a powerful monster.''
0039	Altar for Tribute	Trap Card		Normal				21070956	Select 1 monster on your side of the field and send it to the Graveyard. Increase your Life Points by an amount equal to the original ATK of the monster.
0040	Amazon of the Seas	Monster (Normal)	WATER	Fish	4	1300	1400	17968114	A mermaid who serves as a herald to the Ocean Lord. She protects the sacred domain of Atlantis.
0041	Amazoness Archer	Monster (Effect)	EARTH	Warrior	4	1400	1000	91869203	You can Tribute 2 monsters; inflict 1200 damage to your opponent.
0042	Amazoness Archers	Trap Card		Normal				67987611	When an opponent's monster declares an attack, while you control an "Amazoness" monster: Change all monsters your opponent currently controls to face-up Attack Position (Flip Effects are not activated), they lose 500 ATK, also they must attack this turn, if able.
0043	Amazoness Blowpiper	Monster (Effect)	EARTH	Warrior	3	800	1500	73574678	Select 1 face-up monster your opponent controls during each of your Standby Phases. It loses 500 ATK until the end of this turn.
0044	Amazoness Chain Master	Monster (Effect)	EARTH	Warrior	4	1500	1300	29654737	When this card is destroyed by battle and sent to the GY: You can pay 1500 LP; look at your opponent's hand, then add 1 monster from their hand to your hand.
0045	Amazoness Fighter	Monster (Effect)	EARTH	Warrior	4	1500	1300	55821894	You take no battle damage from attacks involving this card.
0046	Amazoness Paladin	Monster (Effect)	EARTH	Warrior	4	1700	300	47480070	This card gains 100 ATK for each "Amazoness" monster you control.
0047	Amazoness Spellcaster	Spell Card		Normal				81325903	Target 1 "Amazoness" monster you control and 1 face-up monster your opponent controls; switch the original ATK of those targets until the end of this turn.
0048	Amazoness Swords Woman	Monster (Effect)	EARTH	Warrior	4	1500	1600	94004268	Your opponent takes any battle damage you would have taken from battles involving this card instead.
0049	Amazoness Tiger	Monster (Effect)	EARTH	Beast	4	1100	1500	10979723	You can only control 1 "Amazoness Tiger". This card gains 400 ATK for each "Amazoness" monster you control. Your opponent cannot attack any face-up "Amazoness" monsters, except this one.
0050	Ameba	Monster (Effect)	WATER	Aqua	1	300	350	95174353	When the control of this face-up card on the field shifts to your opponent, inflict 2000 points of damage to your opponent's Life Points. This effect can only be used once as long as this card remains face-up on the field.
0051	Amphibian Beast	Monster (Normal)	WATER	Fish	6	2400	2000	67371383	On land or in the sea, the speed of this monster is unmatchable.
0052	Amphibious Bugroth	Monster (Fusion)	WATER	Aqua	5	1850	1300	40173854	"Ground Attacker Bugroth" + "Defender of the Sea"
0053	Amphibious Bugroth MK-3	Monster (Effect)	WATER	Machine	4	1500	1300	64342551	While "Umi" is face-up on the field, this card can attack your opponent's Life Points directly.
0054	Amplifier	Spell Card		Equip				303660	Equip only to "Jinzo". While this card is equipped, the equipped monster's effect does not negate the effects of its controller's Trap Cards. When this card is removed from the field, destroy the equipped monster. This card's activation and effect cannot be negated.
0055	An Owl of Luck	Monster (Effect)	WIND	Winged Beast	2	300	500	23927567	FLIP: Select 1 Field Spell Card from your Deck and place it on top of your Deck. If "Necrovalley" is on the field, you can add the selected Field Spell Card to your hand instead.
0056	Ancient Brain	Monster (Normal)	DARK	Fiend	3	1000	700	42431843	A fallen fairy that is powerful in the dark.
0057	Ancient Elf	Monster (Normal)	LIGHT	Spellcaster	4	1450	1200	93221206	This elf is rumored to have lived for thousands of years. He leads an army of spirits against his enemies.
0058	Ancient Gear Beast	Monster (Effect)	EARTH	Machine	6	2000	2000	10509340	Cannot be Special Summoned. If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step. Negate the effects of an opponent's monster destroyed by battle with this card (including in the Graveyard).
0059	Ancient Gear Golem	Monster (Effect)	EARTH	Machine	8	3000	3000	83104731	Cannot be Special Summoned. If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step. If this card attacks a Defense Position monster, inflict piercing battle damage.
0060	Ancient Gear Soldier	Monster (Effect)	EARTH	Machine	4	1300	1300	56094445	If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step.
0061	Ancient Jar	Monster (Normal)	EARTH	Rock	1	400	200	81492226	''A very fragile jar that contains something ancient and dangerous.''
0062	Ancient Lamp	Monster (Effect)	WIND	Spellcaster	3	900	1400	54912977	During your Main Phase: You can Special Summon "La Jinn the Mystical Genie of the Lamp" from your hand. This card must be face-up on the field to activate and to resolve this effect. Before damage calculation, if this card is being attacked by an opponent's monster, and was face-down at the start of the Damage Step: You can target 1 monster your opponent controls, except the attacking monster; the attacking monster attacks it instead, and you proceed to damage calculation.
0063	Ancient Lizard Warrior	Monster (Normal)	EARTH	Reptile	4	1400	1100	43230671	Before the dawn of man, this lizard warrior ruled supreme.
0064	Ancient One of the Deep Forest	Monster (Normal)	EARTH	Beast	6	1800	1900	14015067	This creature adopts the form of a white goat living in the forest, but is actually a Forest Elder.
0065	Ancient Sorcerer	Monster (Normal)	DARK	Spellcaster	4	1000	1300	36821538	''Armed with an array of magic wands, this creature is capable of multiple attacks.''
0066	Ancient Telescope	Spell Card		Normal				17092736	See the top 5 cards of your opponent's Deck. Return the cards to the Deck in the same order.
0067	Ancient Tool	Monster (Normal)	DARK	Machine	5	1700	1400	49587396	A destructive machine discovered in the Ruins of the Ancients.
0068	Ancient Tree of Enlightenment	Monster (Normal)	EARTH	Plant	3	600	1500	86421986	''This ancient arbor uses its extensive knowledge to avoid the damage of enemy attacks.''
0069	Andro Sphinx	Monster (Effect)	LIGHT	Beast	10	3000	2500	15013468	You can pay 500 Life Points to Special Summon this card when "Pyramid of Light" is on the field. This card cannot attack during the turn that it is Normal Summoned or Special Summoned. This card cannot be Special Summoned from the Graveyard. If this card destroys a Defense Position monster as a result of battle, inflict damage to your opponent's Life Points equal to half of the ATK of the destroyed monster.
0070	Ansatsu	Monster (Normal)	EARTH	Warrior	5	1700	1200	48365709	A silent and deadly warrior specializing in assassinations.
0071	Ante	Spell Card		Normal				34236961	Each Player reveals 1 card from their hand. If one card is higher Level than the other, the card with the lower Level is sent to the Graveyard, and the player who revealed it takes 1000 damage. (Non-Monster Cards are treated as Level 0.)
0072	Anthrosaurus	Monster (Normal)	EARTH	Dinosaur	3	1000	850	89904598	Dis man-like dinosawz gotta high I.Q., even tho he's lackin' in da strength depawtment. (Kinda like yooz, if ya had a high I.Q.! Nyaah!)
0073	Anti Raigeki	Trap Card		Normal				42364257	When your opponent activates "Raigeki": Negate its effect, and if you do, destroy all monsters your opponent controls.
0074	Anti-Aircraft Flower	Monster (Effect)	EARTH	Plant	3	0	1600	65064143	By Tributing 1 Insect-Type monster on your side of the field, inflict 800 points of damage to your opponent's Life Points.
0075	Anti-Spell	Trap Card		Counter				53112492	Remove 2 Spell Counters on your side of the field to negate the activation of a Spell Card and destroy it.
0076	Anti-Spell Fragrance	Trap Card		Continuous				58921041	Both players must Set Spell Cards before activating them, and cannot activate them until their next turn after Setting them.
0077	Apprentice Magician	Monster (Effect)	DARK	Spellcaster	2	400	800	9156135	If this card is Summoned: Target 1 face-up card on the field that you can place a Spell Counter on; place 1 Spell Counter on that target. If this card is destroyed by battle: You can Special Summon 1 Level 2 or lower Spellcaster monster from your Deck in face-down Defense Position.
0078	Appropriate	Trap Card		Continuous				48539234	Activate only when your opponent draws a card(s) outside of either Draw Phase. After that, each time your opponent draws a card(s) outside of either Draw Phase, immediately draw 2 cards.
0079	Aqua Chorus	Trap Card		Continuous				95132338	If there are monsters with the same name on the field, increase the ATK and DEF of all of those monsters with the same name by 500 points.
0080	Aqua Dragon	Monster (Fusion)	WATER	Sea Serpent	6	2250	1900	86164529	"Fairy Dragon" + "Amazon of the Seas" + "Zone Eater"
0081	Aqua Madoor	Monster (Normal)	WATER	Spellcaster	4	1200	2000	85639257	A wizard of the waters that conjures a liquid wall to crush any enemies that oppose him.
0082	Aqua Snake	Monster (Normal)	WATER	Aqua	3	1050	900	12436646	''This monster hypnotizes an opponent with the ball on its tail and draws them to a watery doom.''
0083	Aqua Spirit	Monster (Effect)	WATER	Aqua	4	1600	1200	40916023	This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 1 WATER monster in your Graveyard. During each of your opponent's Standby Phases, you can change the battle position of 1 of your opponent's face-up Monster Cards. Once changed, the monster must remain in this position for the rest of the turn.
0084	Arcana Knight Joker	Monster (Fusion)	LIGHT	Warrior	9	3800	2500	6150044	"Queen's Knight" + "Jack's Knight" + "King's Knight"  A Fusion Summon of this card can only be done with the above materials. Once per turn, when a Spell/Trap Card, or monster effect, is activated that targets this face-up card on the field (Quick Effect): You can discard the same type of card (Monster, Spell, or Trap); negate the effect.
0085	Arcane Archer of the Forest	Monster (Effect)	EARTH	Warrior	3	900	1400	55001420	While there is a Plant-Type monster on your side of the field, this card cannot be attacked. By Tributing 1 Plant-Type monster on your side of the field, destroy 1 Spell or Trap Card on the field.
0086	Archfiend Marmot of Nefariousness	Monster (Normal)	EARTH	Beast	2	400	600	75889523	An air marmot that has a nefarious horn and wings. It attacks by throwing acorns.
0087	Archfiend Mirror	Monster (Normal)	DARK	Fiend	2	700	600	15150371	''A wicked mirror that hypnotizes enemies, diverting attacks from their intended targets.''
0088	Archfiend Soldier	Monster (Normal)	DARK	Fiend	4	1900	1500	49881766	An expert at battle who belongs to a crack diabolical unit. He's famous because he always gets the job done.
0089	Archfiend of Gilfer	Monster (Effect)	DARK	Fiend	6	2200	2500	50287060	When this card is sent to the Graveyard: You can target 1 face-up monster on the field; equip that target with this card. That monster loses 500 ATK while equipped with this card.
0090	Archfiend's Oath	Spell Card		Continuous				22796548	Once per turn: You can pay 500 Life Points, then declare 1 card name; excavate the top card of your Deck, and if it is the declared card, add it to your hand. Otherwise, send it to the Graveyard.
0091	Archfiend's Roar	Trap Card		Normal				56246017	Pay 500 Life Points, then target 1 "Archfiend" monster in your Graveyard; Special Summon that target. It cannot be Tributed. Destroy it during the End Phase of this turn.
0092	Archlord Zerato	Monster (Effect)	LIGHT	Fairy	8	2800	2300	18378582	This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 1 face-up "Warrior of Zera" on your side of the field while "The Sanctuary in the Sky" is on the field. If "The Sanctuary in the Sky" is on your side of the field, by discarding 1 LIGHT Monster Card from your hand to the Graveyard, destroy all monsters on your opponent's side of the field. If "The Sanctuary in the Sky" is not on your side of the field, this effect is not applied.
0093	Arlownay	Monster (Normal)	EARTH	Plant	3	800	1000	14708569	''A lady monster dwelling in a flower, she sprinkles the air with poisonous pollen.''
0094	Arma Knight	Monster (Normal)	WATER	Aqua	4	1000	1200	36151751	''An ammonite warrior that has protected the seas throughout history.''
0095	Armaill	Monster (Normal)	EARTH	Warrior	3	700	1300	53153481	A strange warrior who manipulates three deadly blades with both hands and his tail.
0096	Armed Dragon LV3	Monster (Effect)	WIND	Dragon	3	1200	900	980973	During your Standby Phase: You can send this card to the GY; Special Summon 1 "Armed Dragon LV5" from your hand or Deck.
0097	Armed Dragon LV5	Monster (Effect)	WIND	Dragon	5	2400	1700	46384672	You can send 1 monster from your hand to the GY, then target 1 monster your opponent controls with ATK less than or equal to the sent monster's ATK; destroy that target. During the End Phase, if this card destroyed a monster by battle this turn: You can send this card to the GY; Special Summon 1 "Armed Dragon LV7" from your hand or Deck.
0098	Armed Dragon LV7	Monster (Effect)	WIND	Dragon	7	2800	1000	73879377	Cannot be Normal Summoned/Set. Must be Special Summoned by "Armed Dragon LV5". You can send 1 monster from your hand to the GY; destroy all monsters your opponent controls with ATK less than or equal to that sent monster's ATK.
0099	Armed Ninja	Monster (Effect)	EARTH	Warrior	1	300	300	9076207	FLIP: Target 1 Spell Card on the field; destroy that target. (If the target is Set, reveal it, and destroy it if it is a Spell Card. Otherwise, return it to its original position.)
0100	Armed Samurai - Ben Kei	Monster (Effect)	DARK	Warrior	4	500	800	84430950	For each Equip Card equipped to this card, it gains 1 additional attack during each Battle Phase.
0101	Armor Break	Trap Card		Counter				79649195	Negate the activation of an Equip Spell Card and destroy it.
0102	Armor Exe	Monster (Effect)	LIGHT	Rock	4	2400	1400	7180418	This card cannot attack in the same turn it is Normal Summoned, Flip Summoned, or Special Summoned. During each of your and your opponent's Standby Phases, remove 1 Spell Counter on your side of the field. If you do not, destroy this card.
0103	Armored Glass	Trap Card		Normal				36868108	You can only activate this card when a monster is equipped with an Equip Card. Negate the effects of all Equip Cards on the field during the turn this card is activated.
0104	Armored Lizard	Monster (Normal)	EARTH	Reptile	4	1500	1200	15480588	A lizard with a very tough hide and a vicious bite.
0105	Armored Rat	Monster (Normal)	EARTH	Beast	3	950	1100	16246527	''The fur on this monster rat is tough enough to repel swords.''
0106	Armored Starfish	Monster (Normal)	WATER	Aqua	4	850	1400	17535588	A bluish starfish with a solid hide capable of fending off attacks.
0107	Armored Zombie	Monster (Normal)	DARK	Zombie	3	1500	0	20277860	This warrior blindly swings a deadly blade with devastating force.
0108	Array of Revealing Light	Spell Card		Field				69296555	Declare 1 Type of monster. Any monster of the declared Type cannot declare an attack during the turn it is Normal Summoned, Flip Summoned or Special Summoned.
0109	Arsenal Bug	Monster (Effect)	EARTH	Insect	3	2000	2000	42364374	If you control no other Insect-Type monsters, this card's ATK and DEF become 1000.
0110	Arsenal Robber	Trap Card		Normal				55348096	Your opponent selects 1 Equip Spell Card from his/her Deck and sends it to the Graveyard.
0111	Arsenal Summoner	Monster (Effect)	WIND	Spellcaster	4	1600	1600	85489096	FLIP: Add 1 "Guardian" card from your Deck to your hand, except "Celtic Guardian", "Winged Dragon, Guardian of the Fortress #1", "Winged Dragon, Guardian of the Fortress #2", "Guardian of the Labyrinth", or "The Reliable Guardian".
0112	Assault on GHQ	Trap Card		Normal				62633180	Target 1 monster you control; destroy it, then send 2 cards from the top of your opponent's Deck to the GY.
0113	Astral Barrier	Trap Card		Continuous				37053871	If your opponent's monster attacks a monster you control: You can make the attack a direct attack instead.
0114	Asura Priest	Monster (Effect)	LIGHT	Fairy	4	1700	1200	2134346	Cannot be Special Summoned. During the End Phase of the turn this card is Normal Summoned or flipped face-up: Return it to the hand. This card can attack all monsters your opponent controls once each.
0115	Aswan Apparition	Monster (Effect)	DARK	Fiend	3	500	500	88236094	If this card inflicts Battle Damage to your opponent's Life Points, you can return 1 Trap Card from your Graveyard to the top of your Deck.
0116	Atomic Firefly	Monster (Effect)	LIGHT	Insect	1	100	200	87340664	When this face-up card on the field attacks or is attacked and it is destroyed as a result of battle, the player who destroyed it takes 1000 points of damage.
0117	Attack and Receive	Trap Card		Normal				63689843	You can only activate this card when you take damage to your Life Points. Inflict 700 points of damage to your opponent's Life Points. Also, inflict 300 points of damage to your opponent's Life Points for each "Attack and Receive" card in your Graveyard.
0118	Aussa the Earth Charmer	Monster (Effect)	EARTH	Spellcaster	3	500	1500	37970940	FLIP: While this card is face-up on the field, take control of 1 EARTH monster your opponent controls.
0119	Autonomous Action Unit	Spell Card		Equip				71453557	Pay 1500 Life Points, then target 1 monster in your opponent's Graveyard; Special Summon that target to your side of the field in face-up Attack Position, and equip it with this card. When this card leaves the field, destroy the equipped monster.
0120	Avatar of The Pot	Monster (Effect)	EARTH	Rock	3	1200	1300	99284890	By sending 1 "Pot of Greed" from your hand to the Graveyard, draw 3 cards from your Deck.
0121	Axe Raider	Monster (Normal)	EARTH	Warrior	4	1700	1150	48305365	An axe-wielding monster of tremendous strength and agility.
0122	Axe of Despair	Spell Card		Equip				40619825	(This card is always treated as an "Archfiend" card.) The equipped monster gains 1000 ATK. When this card is sent from the field to the Graveyard: You can Tribute 1 monster; place this card on the top of your Deck.
0123	B. Dragon Jungle King	Monster (Normal)	EARTH	Dragon	6	2100	1800	89832901	''A jet-black dragon found in the deepest jungles who normally devours trees.''
0124	B.E.S. Big Core	Monster (Effect)	DARK	Machine	6	2300	1100	14148099	If this card is Normal Summoned: Place 3 counters on it. Cannot be destroyed by battle. At the end of the Damage Step, if this card battled: Remove 1 counter from this card. If you cannot, destroy it.
0125	B.E.S. Crystal Core	Monster (Effect)	WATER	Machine	5	2100	1000	22790789	When this card is Normal Summoned, put 3 counters on it. This card cannot be destroyed by battle. If this card attacks or is attacked, remove 1 counter from this card at the end of the Damage Step. If you cannot, destroy it. Once per turn, during your Main Phase, you can change 1 face-up Attack Position monster your opponent controls to face-up Defense Position.
0126	Baby Dragon	Monster (Normal)	WIND	Dragon	3	1200	700	88819587	Much more than just a child, this dragon is gifted with untapped power.
0127	Back to Square One	Spell Card		Normal				47453433	Discard 1 card, then target 1 monster on the field; place that target on the top of the Deck.
0128	Backfire	Trap Card		Continuous				82705573	If a face-up FIRE monster(s) you control is destroyed and sent to the GY: Inflict 500 damage to your opponent.
0129	Backup Soldier	Trap Card		Normal				36280194	While there are 5 or more monsters in your Graveyard: Target up to 3 non-Effect Monsters with 1500 or less ATK in your Graveyard; add them to your hand.
0130	Bad Reaction to Simochi	Trap Card		Continuous				40633297	As long as this card remains face-up on the field, any effect of increasing your opponent's Life Points is changed to inflict the same amount of points in damage to your opponent's Life Points.
0131	Bait Doll	Spell Card		Normal				7165085	Target 1 Set card in the Spell & Trap Card Zone; reveal that target, force its activation if it is a Trap Card, then negate its effect if the activation timing is incorrect, and if you do, destroy it. (If it is not a Trap Card, return it face-down.) When this card resolves, shuffle it into the Deck instead of sending it to the Graveyard.
0132	Balloon Lizard	Monster (Effect)	EARTH	Reptile	4	500	1900	39892082	Put 1 counter on this card during each of your Standby Phases. When this card is destroyed, inflict damage to the controller of the card that destroyed it equal to the number of counters X 400 points.
0133	Banisher of the Light	Monster (Effect)	LIGHT	Fairy	3	100	2000	61528025	Any card sent to the Graveyard is banished instead.
0134	Banner of Courage	Spell Card		Continuous				10012614	All monsters you control gain 200 ATK during your Battle Phase only.
0135	Bark of Dark Ruler	Trap Card		Normal				41925941	If a Fiend-Type monster you control battles, during the Damage Step: Pay LP (in multiples of 100 points), then target the opponent's battling monster; that opponent's monster loses that much ATK and DEF, until the end of this turn.
0136	Baron of the Fiend Sword	Monster (Normal)	DARK	Fiend	4	1550	800	86325596	An aristocrat who wields a sword possessed by a malicious spirit that preys on the weak.
0137	Barox	Monster (Fusion)	DARK	Fiend	5	1380	1530	6840573	"Frenzied Panda" + "Ryu-Kishin"
0138	Barrel Behind the Door	Trap Card		Counter				78783370	Activate only when a card's effect that would inflict damage to you is activated. Your opponent takes the damage instead.
0139	Barrel Dragon	Monster (Effect)	DARK	Machine	7	2600	2200	81480461	Once per turn: You can target 1 monster your opponent controls; toss a coin 3 times and destroy it if at least 2 of the results are heads.
0140	Barrel Lily	Monster (Normal)	EARTH	Plant	3	1100	600	67841515	''This wicked flower attacks enemies with pollen projectiles.''
0141	Barrel Rock	Monster (Normal)	EARTH	Rock	4	1000	1300	10476868	''Shouldering a pair of machine guns, this monster is unstoppable.''
0142	Basic Insect	Monster (Normal)	EARTH	Insect	2	500	700	89091579	Usually found traveling in swarms, this creature's ideal environment is the forest.
0143	Bat	Monster (Normal)	WIND	Machine	1	300	350	72076281	''A mechanical bat that drops blasts from its wings.''
0144	Battery Charger	Spell Card		Normal				61181383	Pay 500 Life Points. Special Summon 1 "Batteryman" monster from your Graveyard.
0145	Batteryman AA	Monster (Effect)	LIGHT	Thunder	3	0	0	63142001	If all "Batteryman AA"(s) you control are in Attack Position, this card gains 1000 ATK for each. If all "Batteryman AA"(s) you control are in Defense Position, this card gains 1000 DEF for each.
0146	Batteryman C	Monster (Effect)	LIGHT	Thunder	2	0	0	19733961	If all "Batteryman C"(s) you control are in Attack Position, all Machine-Type monsters you control gain 500 ATK for each "Batteryman C" you control. If all "Batteryman C"(s) you control are in Defense Position, all Machine-Type monsters you control gain 500 DEF for each "Batteryman C" you control.
0147	Battle Footballer	Monster (Normal)	FIRE	Machine	4	1000	2100	48094997	A cyborg with high defense power. Originally it was invented for a football machine.
0148	Battle Ox	Monster (Normal)	EARTH	Beast-Warrior	4	1700	1000	5053103	A monster with tremendous power, it destroys enemies with a swing of its axe.
0149	Battle Steer	Monster (Normal)	EARTH	Beast-Warrior	5	1800	1300	18246479	A bull monster often found in the woods, it charges enemy monsters with a pair of deadly horns.
0150	Battle Warrior	Monster (Normal)	EARTH	Warrior	3	700	1000	55550921	A warrior that fights with his bare hands!!!
0151	Battle-Scarred	Trap Card		Continuous				94463200	Select 1 Archfiend monster on your side of the field to activate this card. Your opponent also pays the same Life Points that you pay for the selected monster during the Standby Phase. If this card is removed from the field, destroy the selected monster. When the selected monster is removed from the field, destroy this card.
0152	Bazoo the Soul-Eater	Monster (Effect)	EARTH	Beast	4	1600	900	40133511	Once per turn: You can banish up to 3 monsters from your Graveyard; this card gains 300 ATK for each, until the end of your opponent's turn.
0153	Beaked Snake	Monster (Normal)	EARTH	Reptile	3	800	900	6103114	''This monster wraps itself around an opponent and pecks away with its huge beak.''
0154	Bean Soldier	Monster (Normal)	EARTH	Plant	4	1400	1300	84990171	A plant-warrior that attacks with seeds and sword.
0155	Beast Fangs	Spell Card		Equip				46009906	A Beast-Type monster equipped with this card increases its ATK and DEF by 300 points.
0156	Beast Soul Swap	Trap Card		Normal				35149085	Target 1 Beast-Type monster you control; return it to the hand, and if you do, Special Summon 1 Beast-Type monster from your hand with the same Level as the monster that was returned to the hand.
0157	Beast of Talwar	Monster (Normal)	DARK	Fiend	6	2400	2150	11761845	Only the master of the sword among Fiend-Type monsters is permitted to hold the Talwar.   (This card is always treated as an "Archfiend" card.)
0158	Beastking of the Swamps	Monster (Effect)	WATER	Aqua	4	1000	1100	99426834	You can substitute this card for any 1 Fusion Material Monster. When you do this, the other Fusion Material Monster(s) must be the correct one(s).
