ID,Name,Type,ATK,DEF,Description,Suggested_Pool,Final_Pool
0072,Anthrosaurus,Monster (Normal),1000,850,"Dis man-like dinosawz gotta high I.Q., even tho he's lackin' in da strength depawtment. (Kinda like ",1.5,
0073,Anti Raigeki,Trap,,,"When your opponent activates ""Raigeki"": Negate its effect, and if you do, destroy all monsters your ",4.5,
0074,Anti-Aircraft Flower,Monster (Effect),0,1600,"By Tributing 1 Insect-Type monster on your side of the field, inflict 800 points of damage to your o",1.2,
0075,Anti-Spell,Trap,,,Remove 2 Spell Counters on your side of the field to negate the activation of a Spell Card and destr,4.5,
0076,Anti-Spell Fragrance,Trap,,,"Both players must Set Spell Cards before activating them, and cannot activate them until their next ",2.3,
0077,Apprentice Magician,Monster (Effect),400,800,If this card is Summoned: Target 1 face-up card on the field that you can place a Spell Counter on; ,1.2,
0078,Appropriate,Trap,,,"Activate only when your opponent draws a card(s) outside of either Draw Phase. After that, each time",4.5,
0079,Aqua Chorus,Trap,,,"If there are monsters with the same name on the field, increase the ATK and DEF of all of those mons",1.4,
0080,Aqua Dragon,Monster (Fusion),2250,1900,"""Fairy Dragon"" + ""Amazon of the Seas"" + ""Zone Eater""",3.5,
0081,Aqua Madoor,Monster (Normal),1200,2000,A wizard of the waters that conjures a liquid wall to crush any enemies that oppose him.,2.1,
0082,Aqua Snake,Monster (Normal),1050,900,''This monster hypnotizes an opponent with the ball on its tail and draws them to a watery doom.'',1.5,
0083,Aqua Spirit,Monster (Effect),1600,1200,This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from ,3.1,
0084,Arcana Knight Joker,Monster (Fusion),3800,2500,"""Queen's Knight"" + ""Jack's Knight"" + ""King's Knight""  A Fusion Summon of this card can only be done ",5.1,
0085,Arcane Archer of the Forest,Monster (Effect),900,1400,"While there is a Plant-Type monster on your side of the field, this card cannot be attacked. By Trib",2.1,
0086,Archfiend Marmot of Nefariousness,Monster (Normal),400,600,An air marmot that has a nefarious horn and wings. It attacks by throwing acorns.,1.1,
0087,Archfiend Mirror,Monster (Normal),700,600,"''A wicked mirror that hypnotizes enemies, diverting attacks from their intended targets.''",1.3,
0088,Archfiend Soldier,Monster (Normal),1900,1500,An expert at battle who belongs to a crack diabolical unit. He's famous because he always gets the j,3.3,
0089,Archfiend of Gilfer,Monster (Effect),2200,2500,When this card is sent to the Graveyard: You can target 1 face-up monster on the field; equip that t,4.1,
0090,Archfiend's Oath,Spell,,,"Once per turn: You can pay 500 Life Points, then declare 1 card name; excavate the top card of your ",2.3,
0091,Archfiend's Roar,Trap,,,"Pay 500 Life Points, then target 1 ""Archfiend"" monster in your Graveyard; Special Summon that target",2.3,
0092,Archlord Zerato,Monster (Effect),2800,2300,This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing,4.4,
0093,Arlownay,Monster (Normal),800,1000,"''A lady monster dwelling in a flower, she sprinkles the air with poisonous pollen.''",1.5,
0094,Arma Knight,Monster (Normal),1000,1200,''An ammonite warrior that has protected the seas throughout history.'',1.5,
0095,Armaill,Monster (Normal),700,1300,A strange warrior who manipulates three deadly blades with both hands and his tail.,1.3,
0096,Armed Dragon LV3,Monster (Effect),1200,900,"During your Standby Phase: You can send this card to the GY; Special Summon 1 ""Armed Dragon LV5"" fro",2.2,
0097,Armed Dragon LV5,Monster (Effect),2400,1700,"You can send 1 monster from your hand to the GY, then target 1 monster your opponent controls with A",4.2,
0098,Armed Dragon LV7,Monster (Effect),2800,1000,"Cannot be Normal Summoned/Set. Must be Special Summoned by ""Armed Dragon LV5"". You can send 1 monste",4.4,
0099,Armed Ninja,Monster (Effect),300,300,"FLIP: Target 1 Spell Card on the field; destroy that target. (If the target is Set, reveal it, and d",1.2,
0100,Armed Samurai - Ben Kei,Monster (Effect),500,800,"For each Equip Card equipped to this card, it gains 1 additional attack during each Battle Phase.",1.4,
0101,Armor Break,Trap,,,Negate the activation of an Equip Spell Card and destroy it.,4.5,
0102,Armor Exe,Monster (Effect),2400,1400,"This card cannot attack in the same turn it is Normal Summoned, Flip Summoned, or Special Summoned. ",4.2,
0103,Armored Glass,Trap,,,You can only activate this card when a monster is equipped with an Equip Card. Negate the effects of,4.5,
0104,Armored Lizard,Monster (Normal),1500,1200,A lizard with a very tough hide and a vicious bite.,2.3,
0105,Armored Rat,Monster (Normal),950,1100,''The fur on this monster rat is tough enough to repel swords.'',1.5,
0106,Armored Starfish,Monster (Normal),850,1400,A bluish starfish with a solid hide capable of fending off attacks.,1.5,
0107,Armored Zombie,Monster (Normal),1500,0,This warrior blindly swings a deadly blade with devastating force.,2.3,
0108,Array of Revealing Light,Spell,,,Declare 1 Type of monster. Any monster of the declared Type cannot declare an attack during the turn,2.3,
0109,Arsenal Bug,Monster (Effect),2000,2000,"If you control no other Insect-Type monsters, this card's ATK and DEF become 1000.",3.4,
0110,Arsenal Robber,Trap,,,Your opponent selects 1 Equip Spell Card from his/her Deck and sends it to the Graveyard.,2.3,
0111,Arsenal Summoner,Monster (Effect),1600,1600,"FLIP: Add 1 ""Guardian"" card from your Deck to your hand, except ""Celtic Guardian"", ""Winged Dragon, G",3.1,
0112,Assault on GHQ,Trap,,,"Target 1 monster you control; destroy it, then send 2 cards from the top of your opponent's Deck to ",4.5,
0113,Astral Barrier,Trap,,,If your opponent's monster attacks a monster you control: You can make the attack a direct attack in,4.5,
0114,Asura Priest,Monster (Effect),1700,1200,Cannot be Special Summoned. During the End Phase of the turn this card is Normal Summoned or flipped,3.1,
0115,Aswan Apparition,Monster (Effect),500,500,"If this card inflicts Battle Damage to your opponent's Life Points, you can return 1 Trap Card from ",1.4,
0116,Atomic Firefly,Monster (Effect),100,200,When this face-up card on the field attacks or is attacked and it is destroyed as a result of battle,1.2,
0117,Attack and Receive,Trap,,,You can only activate this card when you take damage to your Life Points. Inflict 700 points of dama,2.3,
0118,Aussa the Earth Charmer,Monster (Effect),500,1500,"FLIP: While this card is face-up on the field, take control of 1 EARTH monster your opponent control",1.4,
0119,Autonomous Action Unit,Spell,,,"Pay 1500 Life Points, then target 1 monster in your opponent's Graveyard; Special Summon that target",2.3,
0120,Avatar of The Pot,Monster (Effect),1200,1300,"By sending 1 ""Pot of Greed"" from your hand to the Graveyard, draw 3 cards from your Deck.",2.2,
0121,Axe Raider,Monster (Normal),1700,1150,An axe-wielding monster of tremendous strength and agility.,2.5,
0122,Axe of Despair,Spell,,,"(This card is always treated as an ""Archfiend"" card.) The equipped monster gains 1000 ATK. When this",2.3,
0123,B. Dragon Jungle King,Monster (Normal),2100,1800,''A jet-black dragon found in the deepest jungles who normally devours trees.'',3.5,
0124,B.E.S. Big Core,Monster (Effect),2300,1100,If this card is Normal Summoned: Place 3 counters on it. Cannot be destroyed by battle. At the end o,4.1,
0125,B.E.S. Crystal Core,Monster (Effect),2100,1000,"When this card is Normal Summoned, put 3 counters on it. This card cannot be destroyed by battle. If",4.1,
0126,Baby Dragon,Monster (Normal),1200,700,"Much more than just a child, this dragon is gifted with untapped power.",2.1,
0127,Back to Square One,Spell,,,"Discard 1 card, then target 1 monster on the field; place that target on the top of the Deck.",2.3,
0128,Backfire,Trap,,,If a face-up FIRE monster(s) you control is destroyed and sent to the GY: Inflict 500 damage to your,4.5,
0129,Backup Soldier,Trap,,,While there are 5 or more monsters in your Graveyard: Target up to 3 non-Effect Monsters with 1500 o,2.3,
0130,Bad Reaction to Simochi,Trap,,,"As long as this card remains face-up on the field, any effect of increasing your opponent's Life Poi",2.3,
0131,Bait Doll,Spell,,,"Target 1 Set card in the Spell & Trap Card Zone; reveal that target, force its activation if it is a",4.5,
0132,Balloon Lizard,Monster (Effect),500,1900,"Put 1 counter on this card during each of your Standby Phases. When this card is destroyed, inflict ",1.4,
0133,Banisher of the Light,Monster (Effect),100,2000,Any card sent to the Graveyard is banished instead.,1.2,
0134,Banner of Courage,Spell,,,All monsters you control gain 200 ATK during your Battle Phase only.,4.5,
0135,Bark of Dark Ruler,Trap,,,"If a Fiend-Type monster you control battles, during the Damage Step: Pay LP (in multiples of 100 poi",4.5,
0136,Baron of the Fiend Sword,Monster (Normal),1550,800,An aristocrat who wields a sword possessed by a malicious spirit that preys on the weak.,2.3,
0137,Barox,Monster (Fusion),1380,1530,"""Frenzied Panda"" + ""Ryu-Kishin""",3.1,
0138,Barrel Behind the Door,Trap,,,Activate only when a card's effect that would inflict damage to you is activated. Your opponent take,2.3,
0139,Barrel Dragon,Monster (Effect),2600,2200,Once per turn: You can target 1 monster your opponent controls; toss a coin 3 times and destroy it i,4.4,
0140,Barrel Lily,Monster (Normal),1100,600,''This wicked flower attacks enemies with pollen projectiles.'',1.5,
0141,Barrel Rock,Monster (Normal),1000,1300,"''Shouldering a pair of machine guns, this monster is unstoppable.''",1.5,
0142,Basic Insect,Monster (Normal),500,700,"Usually found traveling in swarms, this creature's ideal environment is the forest.",1.3,
0143,Bat,Monster (Normal),300,350,''A mechanical bat that drops blasts from its wings.'',1.1,
0144,Battery Charger,Spell,,,"Pay 500 Life Points. Special Summon 1 ""Batteryman"" monster from your Graveyard.",2.3,
0145,Batteryman AA,Monster (Effect),0,0,"If all ""Batteryman AA""(s) you control are in Attack Position, this card gains 1000 ATK for each. If ",1.2,
0146,Batteryman C,Monster (Effect),0,0,"If all ""Batteryman C""(s) you control are in Attack Position, all Machine-Type monsters you control g",1.2,
0147,Battle Footballer,Monster (Normal),1000,2100,A cyborg with high defense power. Originally it was invented for a football machine.,1.5,
0148,Battle Ox,Monster (Normal),1700,1000,"A monster with tremendous power, it destroys enemies with a swing of its axe.",2.5,
0149,Battle Steer,Monster (Normal),1800,1300,"A bull monster often found in the woods, it charges enemy monsters with a pair of deadly horns.",3.1,
0150,Battle Warrior,Monster (Normal),700,1000,A warrior that fights with his bare hands!!!,1.3,
0151,Battle-Scarred,Trap,,,Select 1 Archfiend monster on your side of the field to activate this card. Your opponent also pays ,2.3,
0152,Bazoo the Soul-Eater,Monster (Effect),1600,900,Once per turn: You can banish up to 3 monsters from your Graveyard; this card gains 300 ATK for each,3.1,
0153,Beaked Snake,Monster (Normal),800,900,''This monster wraps itself around an opponent and pecks away with its huge beak.'',1.5,
0154,Bean Soldier,Monster (Normal),1400,1300,A plant-warrior that attacks with seeds and sword.,2.3,
0155,Beast Fangs,Spell,,,A Beast-Type monster equipped with this card increases its ATK and DEF by 300 points.,1.4,
0156,Beast Soul Swap,Trap,,,"Target 1 Beast-Type monster you control; return it to the hand, and if you do, Special Summon 1 Beas",4.5,
0157,Beast of Talwar,Monster (Normal),2400,2150,Only the master of the sword among Fiend-Type monsters is permitted to hold the Talwar.   (This card,4.1,
0158,Beastking of the Swamps,Monster (Effect),1000,1100,"You can substitute this card for any 1 Fusion Material Monster. When you do this, the other Fusion M",2.1,
0159,Beastly Mirror Ritual,Spell,,,"This card is used to Ritual Summon ""Fiend's Mirror"". You must also Tribute monsters from the field o",2.3,
0160,Beautiful Beast Trainer,Monster (Normal),1750,1500,''A rare female beast-master with a very dangerous whip.'',1.5,
0161,Beautiful Headhuntress,Monster (Normal),1600,800,A vicious creature that has decapitated numerous enemy monsters.,2.5,
0162,Beaver Warrior,Monster (Normal),1200,1500,What this creature lacks in size it makes up for in defense when battling in the prairie.,2.1,
0163,Beckoning Light,Trap,,,"Discard your entire hand, then for each card you discarded to the GY by this effect, add 1 LIGHT mon",2.3,
0164,"Begone, Knave!",Trap,,,If a monster inflicts battle damage to a player: Return that monster to the hand.,2.3,
0165,Behegon,Monster (Normal),1350,1000,"With an enormous maw and massive teeth, this monstrosity is one dangerous and strange serpent from t",2.1,
0166,Behemoth the King of All Animals,Monster (Effect),2700,1500,"This card can be Normal Summoned or Set with 1 Tribute. In that case, the original ATK of this card ",4.4,
0167,Berfomet,Monster (Effect),1400,1800,"When this card is Normal or Flip Summoned: You can add 1 ""Gazelle the King of Mythical Beasts"" from ",1.4,
0168,Berserk Dragon,Monster (Effect),3500,0,"Cannot be Normal Summoned/Set. Must be Special Summoned with ""A Deal with Dark Ruler"" and cannot be ",5.2,
0169,Berserk Gorilla,Monster (Effect),2000,1000,"If this card is in face-up Defense Position, destroy this card. This card must attack if able.",3.4,
0170,Beta The Magnet Warrior,Monster (Normal),1700,1600,"''Alpha, Beta, and Gamma meld as one to form a powerful monster.''",2.5,
0171,Bickuribox,Monster (Fusion),2300,2000,"""Crass Clown"" + ""Dream Clown""",3.5,
0172,Big Bang Shot,Spell,,,"The equipped monster gains 400 ATK. If the equipped monster attacks a Defense Position monster, infl",1.4,
0173,Big Burn,Trap,,,You can only activate this card when your opponent activates a card that targets a monster in the Gr,2.3,
0174,Big Eye,Monster (Effect),1200,1000,"FLIP: Look at up to 5 cards from the top of your Deck, then place them on the top of the Deck in any",2.2,
0175,Big Insect,Monster (Normal),1200,1500,"A giant ant that dwells in the jungle, it is powerful whether attacking or defending.",2.1,
0176,Big Koala,Monster (Normal),2700,2000,"A species of huge Des Koala. He's meek, but people are afraid of him because he's very powerful.",4.3,
0177,Big Shield Gardna,Monster (Effect),100,2600,When a Spell Card is activated that targets this face-down card (and no other cards) (Quick Effect):,1.2,
0178,Big Wave Small Wave,Spell,,,"Destroy all face-up WATER monsters you control, then you can Special Summon WATER monsters from your",4.5,
0179,Big-Tusked Mammoth,Monster (Effect),2000,1000,Monsters your opponent controls cannot attack the turn they are Summoned.,3.4,
0180,Binding Chain,Monster (Normal),1000,1100,''The mystic links of this chain can rob enemies of their power.'',1.5,
0181,Bio Plant,Monster (Normal),600,1300,''A monster created from a major accident in an underground lab.'',1.3,
0182,Bio-Mage,Monster (Normal),1150,1000,A mysterious priest created as a result of the latest advances in biotechnology.,1.5,
0183,Birdface,Monster (Effect),1600,1600,"When this card is destroyed by battle and sent to the GY: You can add 1 ""Harpie Lady"" from your Deck",3.1,
0184,Bite Shoes,Monster (Effect),500,300,FLIP: Change the battle position of 1 face-up monster on the field.,1.4,
0185,Black Dragon's Chick,Monster (Effect),800,500,"You can send this face-up card you control to the Graveyard; Special Summon 1 ""Red-Eyes B. Dragon"" f",2.1,
0186,Black Illusion Ritual,Spell,,,"This card is used to Ritual Summon ""Relinquished"". You must also Tribute a monster from your hand or",3.3,
0187,Black Luster Ritual,Spell,,,"This card is used to Ritual Summon ""Black Luster Soldier"". You must also Tribute monsters from your ",2.3,
0188,Black Luster Soldier,Monster (Ritual),3000,2500,"You can Ritual Summon this card with ""Black Luster Ritual"".",5.1,
0189,Black Luster Soldier - Envoy of the Beginning,Monster (Effect),3000,2500,Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 1 LIGHT ,5.2,
0190,Black Magic Ritual,Spell,,,"This card is used to Ritual Summon ""Magician of Black Chaos"". You must also Tribute monsters from yo",2.3,
0191,Black Pendant,Spell,,,The equipped monster gains 500 ATK. When this card is sent from the field to the Graveyard: Inflict ,2.3,
0192,Black Skull Dragon,Monster (Fusion),3200,2500,"""Summoned Skull"" + ""Red-Eyes Black Dragon""        (This card is always treated as an ""Archfiend"" car",5.1,
0193,Black Tyranno,Monster (Effect),2600,1800,"If the only cards your opponent controls are Defense Position monsters, this card can attack directl",4.4,
0194,Blackland Fire Dragon,Monster (Normal),1500,800,"A dragon that dwells in the depths of darkness, its vulnerability lies in its poor eyesight.",2.3,
0195,Blade Knight,Monster (Effect),1600,1000,"Gains 400 ATK while you have 1 or less cards in your hand. If you control no other monsters, the eff",3.1,
0196,Blade Rabbit,Monster (Effect),400,300,"When this card is changed from Attack Position to face-up Defense Position, destroy 1 monster on you",1.2,
0197,Bladefly,Monster (Effect),600,700,"As long as this card remains face-up on the field, increase the ATK of all WIND monsters by 500 poin",1.4,
0198,Blast Held by a Tribute,Trap,,,When an opponent's monster that was Tribute Summoned declares an attack: Destroy as many face-up Att,4.5,
0199,Blast Juggler,Monster (Effect),800,900,You can only activate this effect during your Standby Phase. Tribute this face-up card to select and,2.1,
0200,Blast Magician,Monster (Effect),1400,1700,"Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell Card resolve",2.4,
0201,Blast Sphere,Monster (Effect),1400,1400,"If this face-down Defense Position card was attacked by an opponent's monster, before damage calcula",2.4,
0202,Blast with Chain,Trap,,,Target 1 face-up monster you control; equip this card to that target. It gains 500 ATK. If this card,4.5,
0203,Blasting the Ruins,Trap,,,You can only activate this card if there are 30 or more cards in your Graveyard. Inflict 3000 points,2.3,
0204,Blazing Inpachi,Monster (Normal),1850,0,"A wicked wooden spirit now burning in flames. Its fire attack is powerful, but it will soon be nothi",3.1,
0205,Blessings of the Nile,Spell,,,Each time card(s) are discarded from your hand to the Graveyard by the effect of a card controlled b,4.5,
0206,Blind Destruction,Trap,,,"Once per turn, during your Standby Phase: Roll a six-sided die. If the result is 1-5, destroy all mo",4.5,
0207,Blindly Loyal Goblin,Monster (Effect),1800,1500,"As long as this card remains face-up on the field, control of this card cannot switch.",3.2,
0208,Block Attack,Spell,,,Target 1 face-up Attack Position monster your opponent controls; change that target to face-up Defen,4.5,
0209,Blocker,Monster (Normal),850,1800,"Constructed from several components, this monster can launch them in a pincer attack.",1.5,
0210,Blood Sucker,Monster (Effect),1300,1500,If this card inflicts battle damage to your opponent: Send the top card of their Deck to the GY.,2.2,
0211,Blowback Dragon,Monster (Effect),2300,1200,Once per turn: You can target 1 card your opponent controls; toss a coin 3 times and destroy that ta,4.1,
0212,Blue Medicine,Spell,,,Increase your Life Points by 400 points.,1.4,
0213,Blue-Eyed Silver Zombie,Monster (Normal),900,700,The beams from the eyes of this creature are said to turn enemies into zombies.,1.5,
0214,Blue-Eyes Shining Dragon,Monster (Effect),3000,2500,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by Tributing 1 ""Blue-Eyes U",5.2,
0215,Blue-Eyes Toon Dragon,Monster (Effect),3000,2500,Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by Tributing 2 monste,5.2,
0216,Blue-Eyes Ultimate Dragon,Monster (Fusion),4500,3800,"""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon""",5.1,
0217,Blue-Eyes White Dragon,Monster (Normal),3000,2500,"This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced",5.1,
0218,Blue-Winged Crown,Monster (Normal),1600,1200,"With hair shaped like a crown and a body encased in bluish white flames, this bird is a formidable s",2.5,
0219,Boar Soldier,Monster (Effect),2000,500,"If this card is Normal Summoned, destroy this card. If your opponent controls 1 or more monsters, de",3.4,
0220,Bokoichi the Freightening Car,Monster (Normal),500,500,"A freight car that is exclusively for Dekoichi. It can transport anything, but most cargo arrives br",1.3,
0221,Bolt Escargot,Monster (Normal),1400,1500,"''After rendering an opponent immobile by spitting a sticky goo, this monster closes in for the atta",1.3,
0222,Bolt Penguin,Monster (Normal),1100,800,"With each arm forming an electric whip, this monster paralyzes its enemies with electric shocks.",1.5,
